ImageId,EncodedPixels
TCGA-AO-A0J2-01A-01-BSA_0, 211439 6 211933 16 212431 20 212930 22 213430 23 213930 23 214429 25 214930 24 215430 24 215930 24 216430 23 216930 23 217431 22 217931 21 218432 19 218932 18 219433 15 219935 11 220438 6
TCGA-AO-A0J2-01A-01-BSA_0, 104054 8 104552 12 105052 13 105551 14 106051 15 106551 15 107051 16 107550 17 108050 18 108550 18 109050 18 109550 19 110049 20 110549 20 111049 20 111549 20 112049 19 112549 19 113049 18 113549 17 114049 16 114550 13 115050 11 115552 6
TCGA-AO-A0J2-01A-01-BSA_0, 144309 15 144807 19 145307 20 145806 21 146306 22 146805 23 147305 23 147805 23 148305 24 148805 24 149305 24 149805 24 150305 24 150805 24 151305 24 151805 24 152305 24 152805 24 153305 24 153806 23 154306 23 154807 22 155307 22 155808 22 156309 21 156810 20 157311 20 157812 19 158313 18 158813 19 159314 18 159814 18 160315 16 160816 15 161321 10
TCGA-AO-A0J2-01A-01-BSA_0, 51576 12 52074 16 52572 19 53071 20 53570 22 54069 23 54568 25 55068 25 55568 25 56067 27 56567 27 57067 27 57566 28 58066 28 58566 28 59066 28 59566 28 60067 27 60568 26 61069 24 61570 23 62071 21 62572 20 63073 18 63575 15 64076 13 64577 10 65079 5
TCGA-AO-A0J2-01A-01-BSA_0, 150939 14 151435 20 151932 23 152430 26 152929 27 153428 28 153926 30 154425 31 154924 32 155423 33 155922 33 156421 34 156920 34 157420 34 157920 33 158420 32 158920 31 159420 30 159920 29 160421 28 160921 27 161422 25 161922 24 162423 22 162923 21 163424 19 163925 16 164426 13 164927 10
TCGA-AO-A0J2-01A-01-BSA_0, 166501 15 167001 17 167501 17 168001 18 168501 19 169001 19 169501 20 170001 21 170501 23 171001 23 171501 24 172001 25 172501 25 173001 26 173501 26 174001 27 174501 28 175001 28 175501 29 176001 29 176501 29 177001 29 177501 29 178001 30 178501 30 179001 30 179501 29 180001 29 180501 29 181001 29 181501 29 182001 29 182501 28 183001 28 183501 27 184001 26 184501 24 185001 23 185501 22 186002 20 186502 19 187002 19 187503 16 188005 13 188507 9
TCGA-AO-A0J2-01A-01-BSA_0, 231441 6 231938 11 232435 15 232931 20 233422 30 233920 32 234418 35 234917 36 235416 38 235915 39 236414 40 236913 41 237413 41 237912 42 238412 42 238912 42 239412 41 239911 41 240412 40 240912 38 241412 37 241913 34 242414 30 242915 24 243417 17 243922 5
TCGA-AO-A0J2-01A-01-BSA_0, 119885 13 120383 36 120882 39 121381 41 121880 42 122380 42 122880 42 123380 42 123880 42 124379 43 124879 42 125379 42 125879 42 126378 43 126878 42 127378 42 127878 42 128378 41 128878 40 129378 40 129879 38 130379 37 130879 35 131380 33 131881 30 132382 27 132883 23 133385 15
TCGA-AO-A0J2-01A-01-BSA_0, 149991 7 150483 16 150980 20 151478 22 151976 24 152475 25 152974 27 153472 28 153971 29 154470 31 154969 31 155468 32 155967 33 156467 33 156966 34 157466 34 157965 35 158465 35 158964 36 159463 37 159963 37 160463 37 160962 38 161462 38 161962 38 162462 38 162962 38 163462 38 163962 38 164462 38 164962 38 165462 38 165963 37 166463 36 166964 34 167464 32 167965 28 168466 24 168968 19 169470 12
TCGA-AO-A0J2-01A-01-BSA_0, 102370 14 102868 18 103368 19 103867 21 104366 23 104866 24 105365 25 105865 26 106364 27 106864 27 107364 27 107864 27 108364 28 108864 28 109364 28 109864 28 110364 27 110864 27 111365 26 111865 26 112365 26 112866 24 113366 24 113867 23 114368 21 114868 20 115370 16 115876 8
